fold,mode,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,current_capital,peak_capital,current_drawdown,open_positions,start_time,end_time
34,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:21.782566,2026-02-19 16:15:21.782570
35,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:22.009059,2026-02-19 16:15:22.009063
35,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:22.275079,2026-02-19 16:15:22.275083
36,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:22.498532,2026-02-19 16:15:22.498536
36,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:22.767103,2026-02-19 16:15:22.767107
37,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:22.991381,2026-02-19 16:15:22.991385
37,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:23.366776,2026-02-19 16:15:23.366781
38,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:23.616503,2026-02-19 16:15:23.616506
38,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:23.882517,2026-02-19 16:15:23.882524
39,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:24.109665,2026-02-19 16:15:24.109669
39,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:24.376487,2026-02-19 16:15:24.376492
40,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:24.677317,2026-02-19 16:15:24.677321
40,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:24.937401,2026-02-19 16:15:24.937446
41,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:25.175663,2026-02-19 16:15:25.175667
41,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:25.679022,2026-02-19 16:15:25.679026
42,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:25.901457,2026-02-19 16:15:25.901462
42,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:26.329533,2026-02-19 16:15:26.329537
43,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:26.581295,2026-02-19 16:15:26.581299
43,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:26.863085,2026-02-19 16:15:26.863089
44,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:27.089767,2026-02-19 16:15:27.089776
44,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:27.357374,2026-02-19 16:15:27.357378
45,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:27.582692,2026-02-19 16:15:27.582696
45,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:27.851106,2026-02-19 16:15:27.851109
